Empresa,Modalidade de apoio
Flyever Indústria e Comércio de Equipamentos Eletrônicos Ltda. - EPP,Auxílio à Pesquisa - PAPPE / PIPE III
Laboratório Biosintesis P & D do Brasil Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Coss Soluções e Tecnologia Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Adest Técnicas para Soldagem de Metais Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Nanox Tecnologia S/A,Auxílio à Pesquisa - PAPPE / PIPE III
"ISP Oil Indústria, Comércio e Tecnologia em Óleos Vegetais e Resinas Ltda",Auxílio à Pesquisa - PAPPE / PIPE III
Ranaville Agroindústria Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
EXA M Instrumentação Biomédica Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Nantex Nanotecnologia Experimental Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Optolink Indústria e Comércio Sociedade Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Noxt Indústria e Comércio de Produtos Eletrônicos Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Quasar Telemedicina e Desenvolvimento de Sistemas Computacionais Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
ALG Tryon Indústria de Equipamentos Eletrônicos Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
PHB Industrial S/A,Auxílio à Pesquisa - PAPPE / PIPE III
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Proqualit Telecon Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
OP2B Soluções para Otimização de Negócios Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Mobwise Consultoria em Engenharia e Softwares Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Labmaq do Brasil Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
"Rheabiotec Desenvolvimento, Produção e Comercialização de Produtos de Biotecnologia Ltda",Auxílio à Pesquisa - PAPPE / PIPE III
Intecmat Indústria e Tecnologia em Materiais Compostos Poliméricos Ltda (InTecMat),Auxílio à Pesquisa - PAPPE / PIPE III
Fermentec Assistência Técnica em Fermentação Alcoólica Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Planner Consultoria de Informática e Traduções Técnicas Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
NCB Sistemas Embarcados Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Natural Products & Technologies Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Tech Chrom Instrumentos Analíticos Ltda. - ME,Auxílio à Pesquisa - PAPPE / PIPE III
Innovatech Telecom Indústria e Comércio de Equipamentos Eletrônicos e de Telecomunicações Ltda (Innovatech),Auxílio à Pesquisa - PAPPE / PIPE III
Rederesíduos Inovações para Economia Circular Ltda,Auxílio à Pesquisa - PAPPE / PIPE III
Atonus Engenharia de Sistemas Ltda. - EPP,Auxílio à Pesquisa - PAPPE / PIPE III
Nchemi Engenharia de Materiais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
F W Grillo - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanox Tecnologia S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Inovações Tecnológicas para a Agropecuária S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Naked Monkey Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Soraya El Khatib - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CL Empreendimentos Biológicos Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Guten Educação e Tecnologia Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
R4F Tecnologia em Telecomunicações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
LHColus Tecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Labmaq do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Alchemy Inovação, Pesquisa e Desenvolvimento Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nitryx Consultoria e Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nchemi Engenharia de Materiais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alk Agrícola Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ventrix Holding S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"T2V Indústria, Comércio e Serviços em Tecnologia Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Optolink Indústria e Comércio Sociedade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tecplas Indústria e Comércio Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Enterup Tecnologia em Sistemas Ltda - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ultrapan Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"BRP Inovação, Assessoria e Representação Comercial Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cis Biomoléculas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Capillare Serviços de Pesquisa e Inovação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Virtualcae Comércio e Serviços de Sistemas Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inova Serviços de Digitalização e Preparação de Documentos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agesan Arquitetura e Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kairos Lab Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Circuitar Eletrônicos, Importação e Exportação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MarquesParizotto Engenharia S/S,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SmarToys Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mupi Tecnologia e Serviços de Informação Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Seip7 Indústria e Comércio de Máquinas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Engrenar Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brax Indústria e Comércio de Máquinas e Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Rheabiotec Desenvolvimento, Produção e Comercialização de Produtos de Biotecnologia Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Immunodot Indústria e Pesquisa de Produtos para Diagnóstico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bradar Indústria S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioativos Naturais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biotech-Space Rede de Pesquisadores de Biotecnologia e Biociências Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Atmos Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bevi Plastic Artefatos Plásticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
GNJ - Consultoria e Desenvolvimento de Projetos Técnico-Científicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Equatorial Sistemas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Equatorial Sistemas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Engecer Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Omnisys Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Omnisys Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Omnisys Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Omnisys Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Macnica DHW Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terra Azul Tecnologia de Polímeros Naturais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Luxtec Sistemas Ópticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"FCA Brasil Indústria, Comércio e Usinagem de Peças Ltda. EPP",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PHC Serviços Administrativos e Projetos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Equatorial Sistemas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Playax Internet Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Felipe Azevedo Moretti,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genotyping Laboratório de Biotecnologia Ltda (Genotyping),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mycofinder Genômica e Controle Biológico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
C O Egalon Consultoria - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
WTA - Watanabe Tecnologia Aplicada Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
3T Biopolímeros Serviços de Pesquisa Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Timpel S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Timpel S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Atrium Assessoria Florestal Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Sharewater Projetos, Indústria e Comércio em Sistemas Hidráulicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Chemyunion Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
João Luiz Chela - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Dinamo Networks Serviços, Desenvolvimento e Participações em Consórcios ou Empresas Ltda (Filial)",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Citi Industrial Systems Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Produtos Químicos Guaçu Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Luxtec Sistemas Ópticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Accert Indústria, Comércio, Importação e Exportação em Química e Biotecnologia Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Libera Tecnologia e Inovação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dnapta Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Hidroflex Indústria e Participações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ALS Laboratórios LS Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Techduto Indústria e Comércio de Máquinas e Artefatos de Plásticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Medtech Serviços de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lipid Ingredients & Technologies Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioativos Naturais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
IQX Inove Qualyx Tecnologia e Desenvolvimento em Resinas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BioTecnoVale Pesquisa e Desenvolvimento Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Decoy Tecnologia em Controle de Pragas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Extraminer Comércio e Indústria de Minérios e Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mark Spekken Engenharia,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Scheme Lab Propriedade Industrial S/S Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Doppia M Projetos Socioculturais e Serviços Administrativos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TECAM Tecnologia Ambiental São Roque Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nervera Serviços de Informática Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SOLPE - Soluções em Ciências e Engenharia de Petróleo Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Luxtec Sistemas Ópticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Hevoise F. Papini Serviços de Nutrição - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Indústria Brasileira de Rebites Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Radeco Consultoria Empresarial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SpeechTera Desenvolvimento de Programas para Computadores Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tallahassee Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Exactaderme Importação e Exportação Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Salt Sea & Limno Technology Consultoria Ambiental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Developnow Projetos de Software e Eletrônica Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioemergens Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Stattus4 Cidades Inteligentes e Sustentabilidade Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Itatijuca Biotech Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terrafísica Inovações Sismológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
One Sports Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kosmoscience Consultoria e Assessoria Técnica em Cosméticos Ltda (KosmoScience),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Aredes Equipamentos Hospitalares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Simone Cristina Picchi,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
A Atual Indústria e Comércio de Aquecedores Solares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PDT Pharma Indústria e Comércio de Produtos Farmacêuticos Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Marcel José Lemes Pinheiro Serviços - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
IDGeo Inteligência em Dados Geográficos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mellifera - Consultoria Tecnológica Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
M C Tech Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CHEM4U Indústria e Comércio de Equipamento e Produtos Químicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ibi Agentes Biológicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"DEV Tecnologia, Indústria, Comércio, Manutenção de Equipamentos Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nexlab Soluções Tecnológicas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Scipopulis Desenvolvimento e Análise de Dados Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Techduto Indústria e Comércio de Máquinas e Artefatos de Plásticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Xastre Peternela Consultoria Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
B&M Pesquisa e Desenvolvimento Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
OAM Obras e Restauração Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ISystems Automação Industrial S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TEC3GEO - Geotecnologias Inovativas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Multimedia Arts Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Selaz Indústria e Comércio de Aparelhos Biomecânicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eliza Massako Akiyama Ota,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Viatech Indústria, Comércio e Prestação de Serviço Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DB Genética Serviços Laboratoriais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Addvance Soluções em Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Raifa Sistemas de Informática Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Hoobox Robotics Tecnologia do Brasil Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Itera Inovação e Desenvolvimento Tecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
QGene Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Siaa Desenvolvimento de Sistemas Eireli - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pensabio Instrumentos de Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Immunogenic Assessoria e Diagnóstico em Saúde Ltda - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kopp Pesquisa e Desenvolvimento Científico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
KartFly Entretenimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioativos Naturais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Saveway Comércio e Representações de Softwares Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ibi Agentes Biológicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cogneti-Tec Sistemas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Imunotera Soluções Terapêuticas Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Marco Antonio Nardy - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Braincare Desenvolvimento e Inovação Tecnológica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eccaplan Consultoria em Desenvolvimento Sustentável Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Versor Inovação Tecnológica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vital Brasil Chemical Indústria e Comércio de Produtos Químicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Rae Electric Engenharia, Pesquisa e Comércio Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brunoro e Orsatti Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
AGA Consultoria e Desenvolvimento de Projetos Técnico-Científicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Venbion Serviços de Laboratório Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Aeroteste Soluções em Aviação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
INVITRA - Tecnologia da Reprodução Assistida Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CFLEX MPC Desenvolvimento e Comercialização de Sistemas Limitada,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dualtronics Indústria de Máquinas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terrafísica Inovações Sismológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Milton Flavio de Macedo Comércio de Equipamentos Médicos Eletrônicos,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Time Energy Indústria e Comércio Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
