Assunto,Quantidade
Biomateriais:Couro:Desenvolvimento de novos materiais:Têxtil,1
Bagaços:Bioenergia:Eficiência energética,1
Biologia molecular:Poluentes,1
Gases do efeito estufa,1
Cana-de-açúcar:Inteligência artificial:Modelos preditivos:Sensoriamento remoto:Indústria 4.0,1
Gases do efeito estufa:Quantificação:Ambiente aquático:Emissão de gases,1
Bioimpressão tridimensional:Células-tronco mesenquimais:Engenharia tecidual:Retração gengival:Terapia baseada em transplante de células e tecidos:Dermatologia,1
Construção civil:Economia circular:Sistema de valorização de resíduos,1
Aprendizado computacional:Bicudo-do-algodoeiro:Manejo integrado de pragas:Visão computacional:Aprendizado de máquina,1
Plantas:Dicotiledôneas:Monocotiledôneas:Manejo fitossanitário:Tecnologias de aplicação de agrotóxicos:Protótipo,1
Reciclagem:Paládio:Platina:Ródio:Terras raras:Catalisadores:Automóveis,1
Vacinas:Vacinas sintéticas:Serratia marcescens:Prevenção de doenças:Assistência à saúde,1
Tecnologia da madeira:Reflorestamento:Madeira de reflorestamento,1
Liofilização:Purificação:Adjuvantes:Formação de anticorpos:Nanopartículas:Sílica:Vacinas:Desenvolvimento de vacinas,1
Fitoquímica:Bioprospecção:Biotecnologia vegetal:Fracionamento:Baunilha:Fragrância,1
Agricultura de precisão:Metagenômica:Análise de sequência de DNA,1
Biotecnologia:Saccharomyces cerevisiae,1
Bioprospecção:Biotecnologia vegetal:Fracionamento,1
Serratia marcescens:Vacinas,1
Biotecnologia:Agrotóxicos:RNA interferente pequeno:Interferência de RNA:Saccharomyces cerevisiae:Agricultura,1
Micro-ondas:Garimpagem:Ouro,1
Aprendizagem profunda:Visão computacional,1
Produção vegetal:Alimentos funcionais:Propagação vegetal:Micropropagação vegetal:Cadeia produtiva:Batata:Yacon:Ribeirão Preto (SP),1
Processos físico-químicos:Estações de tratamento de água:Tratamento de água:Monitoramento:Qualidade da água:Otimização de processos:Inteligência artificial:Internet das coisas,1
Biomarcadores tumorais:Neoplasias pulmonares:Coleta de amostras sanguíneas:Fatores de risco:Inteligência artificial:Neoplasias colorretais,1
Adjuvantes:Nanopartículas:Vacinas,1
Bacteriófagos:Infecções bacterianas:Controle biológico:Fermentação alcoólica,1
Propriedade intelectual:Sistemas pressurizados,1
Inteligência artificial:Visão computacional:Aprendizagem profunda:Biometria:Doenças dos animais:Piscicultura:Aquicultura:Peixes,1
Alimentos funcionais:Micropropagação vegetal:Produção vegetal:Propagação vegetal:Alimento funcional,1
Inteligência artificial:Monitoramento:Otimização de processos:Qualidade da água:Tratamento de água:Processos físico-químicos,1
Vistoria:Visão computacional:Inteligência artificial:Mercado imobiliário,1
Mudança climática:Sustentabilidade,1
Impressão tridimensional:Design de produtos:Materiais avançados:Equipamentos esportivos:Surf:Sustentabilidade,1
Poliuretanos:Materiais renováveis:Reciclagem:Tecnologia ambiental:Produção sustentável:Polióis,1
Controle de processos:Análise de dados:Computação em nuvem:Internet das coisas:Manejo:Piscicultura:Agropecuária:Fertirrigação:Resíduos:Qualidade da água,1
Biotecnologia:Reprodução:Piscicultura,1
Atrofia muscular:MicroRNAs:Oligonucleotídeos:Sarcopenia,1
Antibióticos:Anti-infecciosos:Mastite:Medicina veterinária:Microbiologia,1
Fertirrigação:Piscicultura:Qualidade da água:Resíduos:Softwares:Software,1
Terapia por fagos:Mastite:Medicina veterinária:Microbiologia:Infecções bacterianas:Prevenção de doenças:Mastite animal:Bovinos,1
Microbiologia:Indústria cervejeira:Cerveja:Propagação:Secagem:Leveduras,1
Procedimentos cirúrgicos craniofaciais:Impressão tridimensional:Inteligência artificial:Próteses e implantes:Crânio:Sinterização,1
Impressão tridimensional:Surf:Sustentabilidade,1
Cerveja:Leveduras:Propagação:Secagem:Microbiologia,1
Craniectomia descompressiva:Biomateriais:Impressão tridimensional:Modelagem tridimensional:Reconstrução tridimensional:Próteses e implantes:Inteligência artificial,1
Técnicas de diagnóstico molecular:Inteligência artificial:Meduloblastoma:Oncologia pediátrica:Reação em cadeia da polimerase via transcriptase reversa quantitativa (qRT-PCR):Oncologia molecular,1
Reação em cadeia da polimerase em tempo real:Análise de sequência de DNA:Ácidos nucleicos:Síntese química:RNA:Biotecnologia,1
Fitopatógenos:Óleos:Fitopatologia,1
Micro-ondas:Espilantol:Extração:Produtos naturais,1
Fitopatologia:Biotecnologia:Hermetia illucens:Controle de doenças:Patógenos:Plantas:Óleos:Agrotóxicos:Tomate:Pimentão,1
Oncologia molecular:Oncologia pediátrica:Meduloblastoma:Técnicas de diagnóstico molecular:Reação em cadeia da polimerase via transcriptase reversa quantitativa (qRT-PCR):Inteligência artificial,1
Geração de energia:Etanol:Óleo diesel:Transição energética:Ferrovias:Trens:Transporte de carga:Transporte ferroviário:Gases do efeito estufa,1
Agricultura:Biotecnologia:Controle biológico:Fungicidas:Inovação,1
Abelhas-sem-ferrão:Fermentação:Mel:Meliponini,1
Etanol:Ferrovias:Transição energética,1
Inteligência artificial:Internet das coisas:Aprendizado computacional:Manutenção preditiva:Sensoriamento,1
Reação em cadeia da polimerase em tempo real:Análise de sequência de DNA,1
Neoplasias:Infecções por Papillomavirus:Imunoterapia:HPV,1
Automatização:Diagnóstico,1
Molécula:Peptídeos:Cosméticos:Regeneração:Colágeno:Cosmecêuticos,1
Química:Biomassa:Manga:Impressão tridimensional:Sustentabilidade:Secagem,1
"Artesãos:Sustentabilidade:Artes:Reciclagem:Fatores ambientais, sociais e de governança:Impactos ambientais:Inteligência artificial",1
Biomassa:Impressão tridimensional:Sustentabilidade:Química:Manufatura aditiva,1
Geoprocessamento:Poluição da água:Qualidade da água:Sensoriamento remoto,1
Biópsia líquida:Neoplasias:Diagnóstico:Marcador molecular:Anticorpos de domínio único,1
Internacionalização,1
Biotecnologia industrial:Pigmentos:Bactérias gram-negativas:Violaceína:Resíduos agroindustriais:Sustentabilidade:Indústria têxtil:Fibras têxteis,1
Hormônio folículo estimulante:Inseminação artificial em tempo fixo:Medicina veterinária:Reprodução animal,1
Agricultura de precisão:Inteligência artificial:Soja:Visão computacional,1
Cosméticos:Peptídeos:Regeneração,1
Distúrbios do sono:Medicina do sono,1
Espectroscopia:Proteínas:Células tumorais:Sangue periférico:Anticorpos de domínio único:Biópsia líquida:Neoplasias:Diagnóstico:Marcador molecular,1
Crioterapia:Hipotermia terapêutica:Neuroproteção:Neurologia,1
Artesãos:Inteligência artificial:Sistemas de recomendação,1
Bioimpressão tridimensional:Células-tronco mesenquimais:Engenharia tecidual:Lesão por pressão:Terapia baseada em transplante de células e tecidos:Dermatologia,1
Sistemas de liberação de medicamentos:Medicamentos fitoterápicos:Nanopartículas:Nanoformulações:Burseraceae,1
Controle biológico:Imunidade inata:Biotecnologia,1
Saúde animal:Nutrição animal:Fermentação:Qualidade de vida:Sustentabilidade,1
Entomologia:Micro-organismos simbiontes:Percevejo:Spodoptera:Insetos:Inoculantes:Micro-organismos endofíticos:Pragas de plantas:Milho,1
Biópsia líquida:Técnicas biossensoriais:Neoplasias de cabeça e pescoço:Biossensor,1
Cromatografia líquida:Cromatografia líquida de alta eficiência,1
Técnicas biossensoriais:Neoplasias de cabeça e pescoço:Micrometástase de neoplasia,1
Ácido hialurônico:Bioprocessos:Escalonamento:Produção,1
Fermentação:Micélio:Nutrição animal:Sustentabilidade,1
Metabolômica:Toxicidade:Peixe-zebra,1
Controle de pragas:Inoculantes,1
Teste de biocompatibilidade:Odontogênese:Odontologia regenerativa:Regeneração tecidual,1
Alimentos:Eletrofiação:Engenharia tecidual:Próteses e implantes:Biotecnologia,1
Cobre:Micropartículas:Nanopartículas:Poliuretana:Polímeros naturais,1
Espectroscopia de impedância:Nutrientes:Sensores:Solos:Vinhaça:Sensor:Solo,1
Automação industrial:Engenharia metalúrgica,1
Nutrientes:Solos:Vinhaça:Calagem:Fertilizantes:Equipamentos de medição:Sensores:Espectroscopia de impedância,1
Procedimentos cirúrgicos vasculares:Inovação:Sutura:Agulhas:Veia safena,1
Bem-estar:Aprendizagem profunda:Inteligência artificial:Visão computacional,1
Metabolômica:Toxicidade:Peixe-zebra:Conservação genética:Embrião de animal,1
Polímeros naturais:Micropartículas:Nanopartículas:Poliuretana:Revestimentos:Anti-infecciosos:Nanopartículas metálicas:Soluções aquosas,1
Inovação:Sutura:Procedimentos cirúrgicos vasculares,1
Aprendizado computacional:Inteligência artificial:Processamento de linguagem natural:Aprendizado de máquina,1
Ácido hialurônico:Biomateriais:Polímeros:Processos biotecnológicos,1
Biotecnologia:Agronegócio:Nematicidas:Micro-organismos:Purpureocillium lilacinum:Micro-organismos nematófagos,1
Micro-organismos:Purpureocillium lilacinum,1
Ácido ferúlico:Ácido hialurônico:Astaxantina:Cosmetologia,1
Fitofisionomias:Índices de vegetação:Análise de séries temporais:Monitoramento ambiental,1
Bioprocessos:Carotenoides:Hormônios vegetais:Biotecnologia,1
Materiais compósitos poliméricos:Fibra de carbono:Fibra de vidro:Resinas epoxi,1
Microbiologia agrícola:Insumos agrícolas:Metabólitos:Controle biológico:Sustentabilidade:Agronegócio,1
Cosmetologia:Astaxantina:Ácido ferúlico:Ácido hialurônico:Creme para a pele:Envelhecimento da pele,1
Controle biológico:Sustentabilidade:Microbiologia agrícola,1
Impressão tridimensional:Manufatura aditiva,1
Biotecnologia:Bioprocessos:Microalgas:Carotenoides:Chlorophyceae:Hormônios vegetais,1
Fertilização in vitro animal:Biotecnologia:Pecuária:Bovinos:Eficiência reprodutiva animal:Técnicas de cultura embrionária:Modelos tridimensionais de cultura de células:Inovação,1
Tecnologias interativas:Processamento de sinais:Processamento de sinais biomédicos:Telemedicina:Ludificação:Transtorno do deficit de atenção com hiperatividade,1
Ciência de dados:Internet das coisas,1
Cápsulas:Medicamentos fitoterápicos:Nanopartículas:Sistemas de liberação de medicamentos,1
Biotecnologia:Bovinos:Inovação:Pecuária,1
Infecções bacterianas:Fermentação alcoólica:Lactobacillus fermentum:Saccharomyces cerevisiae,1
Sistemas de cultivo:Maricultura:Reprodução:Rhodophyta,1
Bioquímica:Fermentação alcoólica:Leveduras:Bioetanol:Cana-de-açúcar:Infecções bacterianas:Lactobacillus fermentum:Saccharomyces cerevisiae,1
Sistemas de cultivo:Macroalgas:Algas vermelhas:Maricultura:Reprodução:Rhodophyta,1
Acústica:Construção civil:Controle de ruídos:Poluição sonora:Ruído urbano:Canteiro de obras:Internet das coisas:Inteligência artificial,1
Diagnóstico:Biomarcadores tumorais:Biópsia líquida:Diagnóstico precoce:Diagnóstico de câncer:Técnicas biossensoriais:In situ,1
Química quântica:Eletroquímica:Descoberta de drogas:Técnicas biossensoriais:Produtos naturais,1
Construção civil:Internet das coisas,1
Estresse:Vacinas:Aquicultura,1
Manejo sustentável:Controle alternativo:Fungicidas:Videiras:Phakopsora euvitis:Ferrugem (doença de planta):Oídio,1
Dispositivos e instrumentos médicos:Nanotecnologia:Materiais avançados:Assistência ao paciente:Saúde:Stents,1
Diálise renal:Desinfecção:Cateteres:LEDs:Raios ultravioleta:Desenvolvimento de produtos:Divulgação:Comercialização de produtos,1
Tratamento do câncer:Assistência individualizada de saúde:Oncologia:Organoides,1
Transtorno do deficit de atenção com hiperatividade:Processamento de dados:Processamento de sinais:Jogos de computador:Internet das coisas:Biofeedback:Ludificação:Sensores,1
Biomarcadores:Biomarcadores tumorais:Diagnóstico precoce:Biópsia líquida:Técnicas biossensoriais:Avaliação de testes diagnósticos,1
Medicina veterinária:Terapia baseada em transplante de células e tecidos:Células-tronco mesenquimais:Exossomos:Dermatite em animal:Cães,1
Gestão ambiental:Inteligência artificial:Blockchain:Big data:Logística reversa:Gerenciamento de resíduos,1
Combustíveis:Fermentação:Leveduras:Biorrefinarias:Etanol,1
Diagnóstico precoce:In situ:Biomarcadores tumorais:Biópsia líquida:Técnicas biossensoriais,1
Agricultura sustentável:Bromatologia:Spirulina:Microalgas:Biotecnologia,1
Indústria agrícola:Economia circular:Agroindústria,1
Produtos naturais:Cianobactérias:Bioprodutos:Microalgas:Eutrofização:Biomassa:Insumos agrícolas:Indústria agrícola:Economia circular,1
Aerodinâmica:Propulsão:Hovercraft,1
Hovercraft:Aerodinâmica:Propulsão,1
Medicina regenerativa:Eletrofiação:Engenharia tecidual:Ferimentos e lesões:Saúde animal,1
Agricultura sustentável:Bromatologia,1
Aeronáutica,1
Eletrofiação:Engenharia tecidual:Ferimentos e lesões:Saúde animal:Medicina regenerativa,1
Programação dinâmica,1
Poliuretanos:Materiais renováveis:Reciclagem:Tecnologia ambiental:Produção sustentável,1
Nanotecnologia:Nanotecnologia farmacêutica:Embalagens de medicamentos:Política Nacional de Resíduos Sólidos (PNRS):Economia circular:Nanocompósitos:Celulose,1
Técnicas de diagnóstico neurológico:Acidente vascular cerebral:Diagnóstico por imagem:Tomografia computadorizada:Triagem:Inteligência artificial,1
Propulsão,1
Diagnóstico por imagem:Acidente vascular cerebral:Triagem:Inteligência artificial:Tomografia computadorizada:Crânio,1
Agronegócio:Técnicas de diagnóstico molecular:Doenças de plantas:Fitopatógenos:Transgenes:Point of care:Dispositivos lab-on-a-chip:Amplificação isotérmica mediada por loop (LAMP),1
Acidentes de trânsito:Métodos:Prevenção:Sonolência:Inteligência artificial,1
Biotecnologia:Biotecnologia industrial:Resíduos agroindustriais:Tecidos (indústria têxtil):Sustentabilidade:Violaceína,1
Inteligência artificial:Acidentes de trânsito:Prevenção:Sonolência:Aplicativos móveis,1
Mutagênese:Reação em cadeia da polimerase via transcriptase reversa (RT-PCR):Enzimas:Estabilidade térmica,1
Nutrição vegetal:Adubação:Agricultura digital:Hortaliças:Sustentabilidade:Tomateiro:Plataformas digitais:Ciência de dados,1
Biologia molecular:Fitoquímica:Mikania:Dispositivos lab-on-a-chip:DNA:Metabolômica,1
Biotecnologia industrial:Resíduos agroindustriais:Violaceína:Sustentabilidade:Fibras têxteis:Bactérias anaeróbias gram-negativas,1
Compostos bioativos:Lúpulo:Humulus lupulus:Sabor:Indústria de alimentos,1
Nanotecnologia:Xanthomonas:Fitopatologia:Fitopatógenos:Doenças de plantas:Horticultura:Fruticultura:Biopolímeros:Nanoformulações:Óleos essenciais,1
Biomarcadores:Bovinos:Eficiência alimentar:Metaboloma:Precocidade sexual:Metabolômica,1
Tecnologia ambiental:Materiais renováveis:Aproveitamento de subprodutos:Espumas cerâmicas:Poliuretanos:Polióis,1
Alta pressão:Baixa pressão:Gravidade:Metalurgia do pó,1
Biotecnologia industrial:Resíduos agroindustriais:Sustentabilidade:Violaceína:Bactérias gram-negativas:Pigmentos:Fibras têxteis,1
Nanotecnologia:Biotecnologia:Marketing:Administração de vendas:Análise mercadológica:Prospecção:Modelo de negócio:Comunicação e divulgação científica,1
Técnicas de diagnóstico molecular:Agronegócio:Dispositivos lab-on-a-chip:Testes imediatos:Fitopatógenos:Transgenes:Genes:Plantas,1
