Assunto,Quantidade
Agricultura:Nanotecnologia:Fertilizantes:Espécies de oxigênio reativas,1
Vacinas:Vacinação:Pandemias:COVID-19:SARS-CoV-2:Salmonella enterica,1
Eletroquímica:Eletrodos:Baterias de íon-lítio:Nanotubos de carbono:Nióbio:Reciclagem:Vanádio,1
Neoplasias cerebrais:Biomarcadores tumorais:Técnicas biossensoriais:Diagnóstico:Dispositivos:Monitoramento,1
Medicina veterinária:Medicamentos fitoterápicos:Anti-inflamatórios:Diarileptanoides,1
Cafeicultura:Safra:Maturação dos frutos:Café:Coffea arabica:Agronegócio:Plataformas digitais,1
Oncologia:Neoplasias:Ensaios funcionais:Cultura de células:Organoides,1
Bioetanol:Setor sucroenergético:Desinfecção:Anti-infecciosos:Anti-infecciosos locais,1
Química médica:Biotecnologia:Neoplasias:Glicoconjugados:Síntese:Mucinas:Atenção à saúde:Saúde pública veterinária:Antineoplásicos,1
Tratamento:Fatores de risco:Pigmentação da pele:Transtornos da pigmentação:Hiperpigmentação:Melanose:Pele,1
Apicultura:Polinização:Colmeias:Apis mellifera:Mel,1
Medicina regenerativa:Células-tronco mesenquimais:Exossomos:Terapia baseada em transplante de células e tecidos:Vesículas extracelulares:Exantema,1
Indústria de alimentos:Compostos bioativos:Bioacessibilidade:Ubiquinona:Encapsulação :Iogurte,1
Oncologia:Neoplasias:Técnicas de diagnóstico molecular:Sequenciamento de nova geração:Mutação:Prognóstico:RNA,1
Indústria farmacêutica:Nitrosaminas:Carbamatos:Amidas,1
Ácido hialurônico:Bioimpressão tridimensional:Retração gengival:Regeneração tecidual:Terapia baseada em transplante de células e tecidos:Vesículas extracelulares,1
Medicina:Radiologia:Radioterapia:Educação a distância:Ensino remoto:Simuladores:Plataforma (computação),1
Oncologia:Neoplasias:Células tumorais:Cultura de células:Modelos tridimensionais de cultura de células:Organoides:Técnicas in vitro,1
Gestão em saúde:Inteligência artificial:Jornada de trabalho:Organização do trabalho:Profissionais de enfermagem,1
Medicina regenerativa:Terapia baseada em transplante de células e tecidos:Células-tronco mesenquimais:Cicatrização:Curativos biológicos:Ferimentos e lesões:Úlcera cutânea,1
Citopatologia:Carcinoma:Técnicas de diagnóstico molecular:Glândula tireoide:Nódulo da glândula tireoide:Biópsia por agulha fina:MicroRNAs:Prognóstico,1
Fitopatologia:Actinobacteria:Doenças de plantas:Cancro (doença de planta):Compostos bioativos:Xanthomonas citri:Fatores biológicos,1
Cosmetologia:Dermocosméticos:Ácido hialurônico:Fibroínas de seda:Terapia por estimulação elétrica:Doenças da pele e do tecido conjuntivo:Máscaras faciais:indústria cosmética,1
Doenças da pele e do tecido conjuntivo:Pigmentação da pele:Transtornos da pigmentação:Hiperpigmentação:Melanose,1
Medicina veterinária:Saúde animal:Biologia computacional:Genômica:Microbiota:Nutrigenômica:Animais domésticos:Plataforma (computação),1
Desenvolvimento de produtos:Máquinas pneumáticas:Sistemas de transporte pneumático:Produtos agrícolas:Cana-de-açúcar,1
Metabolômica:Biomarcadores:Diagnóstico precoce:Prevenção de doenças:Estilo de vida saudável:Nutrição:Meio ambiente,1
Desenvolvimento de vacinas:Vacinas:Administração oral:COVID-19:SARS-CoV-2:Salmonella enterica:Salmonella typhimurium:Pandemias,1
Inulina:Prebióticos:Ácido micofenólico:Frutooligossacarídeos:Alimentos funcionais:Batata:Yacon:Estilo de vida saudável,1
Oncologia:Neoplasias:Meduloblastoma:Classificação molecular do câncer:Reação em cadeia da polimerase via transcriptase reversa quantitativa (qRT-PCR),1
Cirurgia assistida por computador:Plataforma (computação):Design instrucional:Impressão tridimensional:Realidade aumentada:Treinamento profissional:Médicos,1
Indústria sucro-alcooleira:Usina açucareira:Reaquecimento:Caldeiras:Bagaços:Biomassa:Cana-de-açúcar,1
Agricultura:Agronegócio:Cafeicultura:Plataforma (computação):Inteligência artificial:Produtividade:Lavoura:Pré-colheita,1
Nitrosaminas:Fluxo contínuo:Química verde:Impurezas:Química farmacêutica:Produção:Fármacos,1
Regeneração tecidual:Terapia baseada em transplante de células e tecidos:Ácido hialurônico:Bioimpressão tridimensional:Retração gengival:Vesículas extracelulares:Tecidos suporte,1
Engenharia agrícola:Agricultura de precisão:Sistemas embarcados:Eletrônica embarcada:Interação homem-máquina:Internet das coisas:Automação:Plataforma (computação),1
Agricultura:Controle de pragas:Controle biológico:Agentes de controle biológico:Cotesia flavipes:Cana-de-açúcar:Veículos aéreos não tripulados,1
Citopatologia:Carcinoma:Glândula tireoide:Carcinoma medular de tiroide:Técnicas de diagnóstico molecular:MicroRNAs:Mutação,1
Medicina veterinária:Medicamentos fitoterápicos:Anti-inflamatórios:Usos terapêuticos:Diarileptanoides:Curcuma,1
Avicultura:Controle biológico:Controle de pragas:Fungos entomopatogênicos:Inseticidas biológicos:Coleoptera:Tenebrionidae,1
Neoplasias:Radioterapia:Controle da qualidade:Planejamento hospitalar:Hospitais públicos:Portal (internet):Intensificação de imagem radiográfica,1
Biorremediação:Automação:Emulsificantes:Poluentes:Tratamento de águas residuárias,1
Oncologia:Fármacos:Quimioterápicos:Cultura de células:Células tumorais:Organoides:Alternativas ao uso de animais,1
Apicultura:Abelhas:Apis mellifera:Controle biológico:Controle de pragas:Ácaros:Varroa destructor:Fungos acaropatogênicos,1
Sequenciamento de nova geração:Técnicas de reprodução assistida:Vírus da imunodeficiência felina:Diagnóstico pré-implantação:Aneuploidia:Embrião,1
Imobilização:Colinesterases:Ligantes:Cromatografia,1
Testes para micronúcleos:Genotoxicidade:Toxicogenética:Melanoma:Testes de toxicidade:Desenvolvimento de fármacos,1
Física médica:Exames médicos:Tomografia computadorizada:Radiação ionizante:Neoplasias mamárias:Big data,1
Actinobacteria:Compostos bioativos:Cancro (doença de planta),1
Radiação ionizante:Radioproteção:Dosímetros,1
Neoplasias:Radioterapia,1
Administração pública:Transparência pública:Tecnologia da informação:Big data:Compliance:Auditoria:Fiscalização,1
Realidade aumentada:Impressão tridimensional:Modelagem tridimensional:Cirurgia assistida por computador:Treinamento profissional:Pessoal de saúde,1
Dermatologia:Exossomos:Terapia baseada em transplante de células e tecidos,1
Segurança da informação:Vazamento de informação:Mineração de dados:Internet:Internet das coisas,1
Odontopediatria:Hidróxido de cálcio:Canal radicular,1
Oncologia:Biotecnologia:Química médica:Atenção à saúde:Saúde pública veterinária:Antineoplásicos:Glicoconjugados:Mucinas:Imunoterapia,1
Informática médica:Aprendizado computacional:Redes complexas,1
Apicultura:Controle biológico:Controle de pragas,1
Nanotecnologia:Antioxidantes:Bebidas:Biodisponibilidade:Café,1
Cultura de células:Raios ultravioleta:Fotoquimioterapia:Cosméticos:Envelhecimento da pele:Protetores solares:Fotoproteção,1
Energia:Equipamentos médicos duráveis:Fibra óptica:Laser (aparelho cirúrgico):Iluminação,1
Alimentos funcionais:Frutooligossacarídeos:Prebióticos:Pós-colheita:Smallanthus sonchifolius:Propriedades funcionais:Suplementos nutricionais,1
Diagnóstico:Testes genéticos:Vírus da hepatite C:Hepatite B:Tecnologia de baixo custo,1
Endogamia:Marcador molecular:Aconselhamento genético:Produtividade:Bovinos de corte:Gado Nelore:Simulação:Softwares,1
Biotecnologia:Biorremediação:Lipase:Tratamento de águas residuárias:Tratamento de esgotos sanitários:Catalisadores,1
Detectores de radiação:Radiação ionizante:Dosimetria:Dosímetros:Luminescência,1
Técnicas de diagnóstico molecular:Neoplasias:MicroRNAs:Expressão gênica:Nódulo da glândula tireoide:Tireoidectomia:Biópsia por agulha fina,1
Neuroimunomodulação:Inflamação:Psoríase:Nanotecnologia:Sistemas de liberação de medicamentos:Tratamento farmacológico,1
Assistência hospitalar:Informática médica:Reconhecimento de imagem:Processamento de linguagem natural:Criança hospitalizada:Ansiedade:Estresse psicológico:Brinquedos,1
Amniocentese:Cirurgia:Ultrassom:Impressão tridimensional,1
Neurociências:Psicologia do esporte:Realidade virtual:Aplicativos móveis:Ludificação:Treinamento por simulação:Cognição:Atletas:Performance,1
Tecnologia farmacêutica:Nanotecnologia:Desenvolvimento de fármacos:Anfotericina B:Carreadores lipídicos nanoestruturados:Doenças negligenciadas:Leishmaniose,1
Controle da qualidade:Produtividade:Polinização:Laranja:Abelhas:Café:Maçã:Melão:Mel,1
Segurança alimentar:Microbiologia de alimentos:Alimentos naturais:Óleos essenciais:Conservantes:Fungos fitopatogênicos:Antifúngicos,1
Nanotecnologia:Nanopartículas:Cosmetologia:Dermocosméticos:Cosméticos:Pigmentação:Melanose:Pele,1
Exergia:Energia:Reaquecimento:Bagaços:Geração de energia elétrica:Indústria sucro-alcooleira:Caldeiras,1
Instalações prediais de segurança:Automação predial:Edifícios residenciais:Segurança pública:Furto:Roubo:Biometria,1
Química verde:Fármacos:Remifentanil,1
Informática médica:Gerenciamento eletrônico de documentos:Sistemas computadorizados de registros médicos:Recuperação da informação:Digitalização:Terminologia:Plataforma (computação):Aplicativos móveis,1
Equipamentos e provisões hospitalares:Fibra óptica:Energia:Iluminação:Diodos:Energia elétrica:Laser,1
Fenômenos e processos farmacológicos e toxicológicos:Liberação controlada de fármacos:Nanofibras:Spray drying:Gluconacetobacter xylinus,1
Terapêutica médica:Radioterapia:Neoplasias:Raios X:Tomógrafos computadorizados,1
Informática médica:Aprendizado computacional:Usabilidade de software:Frameworks:Gestão da informação:Sistemas de informação em saúde,1
Computação em nuvem:Sistemas distribuídos:Segurança da informação:Criptologia:Privacidade,1
Agricultura orgânica:Secagem:Spray drying:Microencapsulação:Bioensaio:Pesticidas,1
Produtos imunológicos:Imunogenicidade:Vacinas:Mastite bovina:beta-Glucanas,1
Dermatologia:Terapia baseada em transplante de células e tecidos:Curativos biológicos:Úlcera cutânea:Queimaduras:Queratinócitos:Fibroblastos,1
Desempenho esportivo:Atletas:Cognição:Modelos neurológicos:Modelagem computacional,1
Prostatectomia:Neoplasias da próstata:Metástase:MicroRNAs:Recidiva,1
Raios ultravioleta:Cultura de células:Envelhecimento:Neoplasias cutâneas:Protetores solares:Fotoproteção,1
Biotecnologia da reprodução:Sincronização do cio:Inseminação artificial animal:Bovinos:Proteínas recombinantes:Gonadotrofina coriônica,1
Artrite reumatoide:Anti-inflamatórios:Inflamassomos:Extratos vegetais:Própolis:Nanopartículas:Modelos animais,1
Técnicas de reprodução assistida:Criopreservação animal:Lipidômica:Lipídeos:Oócitos:Embrião:Nanotecnologia:Kit de reagentes para diagnóstico,1
Indústria sucro-alcooleira:Biotecnologia:Nigericina:Antibióticos:Fermentação:Etanol:Monensin:Actinobacteria,1
Doenças negligenciadas:Leishmaniose:Leishmania:Anfotericina B:Pentamidina:Paromomicina:Carreadores lipídicos nanoestruturados,1
Surtos de doenças:Técnicas de diagnóstico molecular:Infecções por HTLV-I:Infecções por HTLV-II:Reação em cadeia da polimerase em tempo real:Reação em cadeia por polimerase (PCR):DNA,1
Informática médica:Computação em nuvem:Computação ubíqua:Dispositivos móveis:Sistemas computadorizados de registros médicos:Digitalização:Big data,1
Plataforma (computação):Tecnologia educacional:Plataformas de ensino e aprendizagem:Indicadores de desempenho:Roteirização:Aprendizado computacional:Ensino por computador,1
Terapêutica médica:Radioterapia:Raios X:Neoplasias:Desenvolvimento de software,1
Técnicas de diagnóstico molecular:Neoplasias:Nódulo da glândula tireoide:Tireoidectomia:MicroRNAs,1
Fármacos:Síntese de fármacos:Química verde:Analgésicos opioides:Remifentanil,1
"Técnicas e equipamentos analíticos, diagnósticos e terapêuticos:Equipamentos e provisões elétricas:Campo magnético:Transdutores de pressão:Sensores piezoelétricos:Ultrassom:Calibragem",1
Dermatologia:Cicatrização:Fibroblastos:Queimaduras:Melanócitos:Queratinócitos:Terapia baseada em transplante de células e tecidos:Vitiligo:Úlcera cutânea,1
Embalagens de alimentos:Microencapsulação:Agricultura orgânica:Pesticidas:Bioensaio,1
Ácidos graxos:Biodiesel:Hidrólise:Catálise:Ésteres:Produção agrícola:Soja,1
Ultrassom:Anestesia local:Tecidos (anatomia):Glândula tireoide:Treinamento profissional,1
Nutrição parenteral:Tecnologia farmacêutica:Nanotecnologia:Nanoemulsão:Emulsões (formas farmacêuticas),1
Ecologia química:Saúde animal:Bovinocultura:Feromônios:Parasitos:Carrapatos:Boophilus microplus:Controle biológico,1
Anticorpos monoclonais:Phage display:Biofarmacologia:Fármacos,1
Empreendedorismo:Desenvolvimento de software:Tomada de decisão:Pequenas e médias empresas,1
Mastite bovina:Imunogenicidade:Desenvolvimento de vacinas:Vacinas:Glucanos,1
Tuberculose:Fármacos:Ensaios enzimáticos,1
Nanotecnologia:Biodiversidade:Nanopartículas:Ocotea:Leishmaniose,1
Biotecnologia:Técnicas de reprodução assistida:Criopreservação:Oócitos:Embrião,1
Fermentação:Papel:Refino:Celulose:Bioprocessos,1
Motores elétricos:Economia de energia:Controle da qualidade,1
Bovinos:Gonadotrofina coriônica,1
Laser:Nanotecnologia:Fármacos fotossensibilizantes:Regeneração tecidual guiada,1
Doenças periodontais:Fármacos:Filmes:Metronidazol,1
Doenças periodontais:Fármacos:Caseínas:Metronidazol:Pectinas,1
Doenças transmissíveis:Candidíase vulvovaginal:Fitoterapia:Medicamentos fitoterápicos:Antifúngicos:Própolis,1
Biotecnologia:Contaminação:Fermentação alcoólica:Própolis:Aspergillus,1
Indústria farmacêutica:Leito fluidificado:Farmácia prática:Formas farmacêuticas:Revestimentos,1
Cosmetologia:Cosméticos:Tecnologia de cosméticos:Protetores solares:Fotoproteção:Alternativas ao uso de animais:Alternativas aos testes com animais,1
Própolis:Cicatrização:Anti-infecciosos:Queimaduras:Curativos biológicos,1
Biofarmacologia:Biofármacos:Fármacos:Anticorpos monoclonais:Phage display,1
Ensaios enzimáticos:Tuberculose:Mycobacterium:Complexo de endopeptidases do proteassoma,1
Processamento de alimentos:Refino:Açúcar:Celulose:Óleo de soja:Enzimas,1
Computação móvel:Desenvolvimento de software:Desenvolvimento de tecnologia:Serviços médicos de emergência,1
Raios X:Diagnóstico por imagem:Câmeras de precisão,1
Preparações farmacêuticas:Implantes de medicamento:Eficiência mastigatória:Microgrânulos,1
Saúde animal:Anti-infecciosos:Bacteriófagos:Salmonella:Frangos,1
Bioprocessos:Celulose:Enzimas:Xilosidases:Branqueamento da celulose:Biorrefinarias,1
Biofármacos:Proteínas recombinantes:Imunidade inata:Interferon beta,1
Candidíase:Candidemia:Desenvolvimento de produtos:Fármacos:Própolis,1
Farmacocinética:Biodiversidade:Lignanas:Leishmaniose:Toxicidade,1
Química orgânica:Fermentação alcoólica:Antibióticos:Plantas medicinais:Produção de etanol:Etanol,1
Genética molecular:Enzimas:Xilosidases:Celulose:Refinarias,1
Epidemiologia:Vírus sinciciais respiratórios:Bocavirus humano:Biologia molecular:Proteínas recombinantes:Testes imediatos,1
Ultrassom:Técnicas de imagem por elasticidade:Diagnóstico:Tratamento:Estudos de viabilidade,1
Mastigação:Eficiência mastigatória:Sistema estomatognático,1
Proteínas recombinantes:Biomateriais:Cimentos de resina:Teste de biocompatibilidade,1
Neoplasias:Metástase neoplásica:Metaloproteinases:Anticorpos monoclonais:Caderinas,1
Biodiversidade:Produtos naturais:Leishmaniose cutânea:Tripanossomicidas:Lignanas,1
Biomarcadores:Espectrometria de massas:Mycobacterium tuberculosis,1
Algoritmos:Enzimas:Biocombustíveis:Biorrefinarias:Análise in silico,1
Anti-infecciosos:Celulose:Celulose bacteriana:Paciente com queimadura:Queimaduras:Exantema:Cicatrização:Curativos biológicos:Própolis,1
Compostos orgânicos:Enzimas:Propriedades químicas do papel:Branqueamento:Energia de biomassa,1
Medicina nuclear:Neoplasias:Cirurgia:Detectores de radiação:Linfonodo sentinela,1
Visão computacional:Infravermelho:Sensores,1
Equinos:Rhodococcus equi:Vacinas:Desenvolvimento de vacinas:Escalonamento de processos,1
Tecnologia de celulose e papel:Branqueamento:Bioquímica industrial:Biotecnologia:Enzimas,1
Etanol:Gasolina:Combustíveis:Controle da qualidade:Adulteração,1
Tecnologia farmacêutica:Cápsulas:Comprimidos:Leito fluidificado:Revestimentos:Validação,1
Bacteriologia:Enterobacteriaceae:Salmonella:Salmonella enterica:Antígenos de bactérias,1
Imunologia veterinária:Genes de imunoglobulinas:Imunoglobulina Y:Anticorpos policlonais:Anticorpos:Aves,1
Computação móvel:Hipermídia:Diagnóstico clínico,1
Educação:Eletrônica embarcada:Linguagem de programação:Processamento de imagens:Realidade aumentada,1
Hipermídia:Multimídia:Recuperação da informação:Integração de tecnologias,1
Animais domésticos:Biodiversidade:Ehrlichia canis:Erliquiose canina,1
Doença enxerto-hospedeiro:Controle da qualidade:Irradiação:Sangue:Linfócitos T,1
Medicamento:Anti-infecciosos:Antibacterianos:Infusões parenterais,1
Medicina nuclear:Equipamentos e provisões hospitalares:Calibragem,1
Dosimetria:Proteção radiológica:Radiação ionizante:Monitoramento de radiação:Calibração:Controle da qualidade,1
Melhoramento genético animal:Bovinos de corte,1
Equipamento odontológico:Implantodontia:Implantes osseointegrados:Linguagem de programação:Sistemas de informação:Protocolos de comunicação,1
Reatores químicos,1
Dosimetria,1
Radiação ionizante,1
Ensaios químicos:Usina açucareira,1
